Max,Mean,Metric,Min,Std,Unit
202493.0,197516.2,Total Arrivals per Run,186051.0,6985.98041795137,vehicles
100139.0,92118.5,Total Charged per Run,74892.0,10682.56492556394,vehicles
107429.0,101220.8,Total Left Uncharged per Run,97794.0,3513.2059369691888,vehicles
49.527912279226655,46.515932504969975,Success Rate per Run,40.070197215653124,3.8940750441203487,%
7465.84,6157.976000000001,Average Revenue per Run,5046.02,865.9170428729174,currency
6792.61,5681.516,Average Energy per Run,4704.3,764.0951029987474,kWh
125.84936999999998,109.434722,Average Power per Run,76.12093999999998,21.00325905246337,kW
55.18,44.56400000000001,Average Station Utilization per Run,38.7,6.775628220156251,%
132160.0,127299.0,Total Violations per Run,124310.0,2475.18820833218,violations
62.693140000000014,57.339595999999986,Violation Rate per Run,54.85853000000007,3.089730236902046,%
