Run,Seed,Total_Arrivals,Charged,Left_Uncharged,Success_Rate_%,Avg_Revenue,Avg_Energy_kWh
1,3047,186051,75686,105672,40.16,4834.31,4476.56
2,294,186902,74892,107429,39.49,4773.16,4421.31
3,714,201354,98491,98867,48.77,6478.93,5952.79
4,1092,202313,99139,99084,48.96,6532.72,6006.93
5,1386,189512,79808,105035,41.77,5129.97,4743.49
6,2856,201832,99142,98813,49.13,6573.7,6038.01
7,42,201471,96994,100471,48.07,6385.93,5868.85
8,114514,202493,97640,100970,48.29,6469.35,5942.96
9,2025,201047,99254,97794,49.38,6550.06,6013.97
10,1993,202187,100139,98073,49.5,6622.16,6081.67
